pn,qty,description
BPP8M_M0504,0,Z-Axis Coupler Load
BPP8M_M0508,0,Z-Axis Spacer
BPP8M_M0522,0,Z-Axis Spacer
BPP8M_M0527,0,ON BOARD LED/PHOT FINGER COVER
BPP8M_M0532,0,EXCENTRIC PIECE
BPP8M_M0549,0,Z-Axis Roller Guide
BPP8M_M0553,0,Z-Axis Coupler Clamp
BPP8M_M0554,0,Z-Axis Coupler Drive
BPP8M_M0554M,0,Z-Axis Coupler Drive
BPP8M_M0558,0,Z-Axis Coupler Center
BPP8M_M0577,0,COVER
BPP8M_M0587,2,Y AXIS LEFT LOCK
BPP8M_M0588,3,RIGHT ARM LOCK FOR BPP8
BPP8M_M0682,1,MOUNTING PIN
BPPA00A60140,0,LED/PHOTO SUPPORT
BPPA00A60150,0,PHOTO SUPPORT
BPPA00A60240,0,LED/PHOTO SUPPORT
BPPA00A60250,0,LED SUPPORT
BPPA04M00021,0,CANOPY INTERFACE
BPPA04M00024,0,PIN
BPPAC004,0,WT05-RIBBON CABLE
BPPAH0022,2,ANTENNA DISTRIBUTION
BPPAH0080,1,COMB UP/DOWN MOTION
BPPAH1300,0,ANTENNA EMISSION INT
BPPAH1700,2,STATUS LIGHT BOARD
BPPAH2200,0,FORWARD BACKWARD MOTION
BPPAH2400,0,DC/DC POWER SUPPLY
BPPAH2500,2,BATTERY RELAY BOARD
BPPBH1500,2,INTERFACE BOARD
BPPBH1700,6,ANTENNA INTERFACE BOARD
BPPCH1500,2,DRIVER BOARD BATCH
BPPCH1700,0,RESTING PLANE INT BOARD
BPPDH1500,21,ANTENNA RECEPTION INT. BOARD
BPPH06A50015,0,Batch Comb Flip Transmission
BPPH06A50045,0,Right Batch Transfer Comb Asse
BPPH06A50055,0,Left Batch Transfer Comb Assem
BPPH06A50105,0,Batch Comb Flip Motor Assembly
BPPH06A50115,0,Batch Comb Flip Motor
BPPH06A50125,0,Batch Comb Flip Encoder
BPPH06A50405,0,Z-Comb wafer slide sensor asse
BPPH06M50216,0,Batch Comb Flip Trasmissinon
BPPH06M50219,5,WTU BELT
BPPH06M50256,0,Batch Comb Flip Roller
bppm8m_a0541,0,bppm8m_a0541
BPPM8M_M0554,0,CAB10932
BPPM8M_M0558,0,cab11605
BPPR03A20110,2,CAB12026
BPPR03A35100,1,CARRIER ELEVATOR ROTATION MOTO
BPPR03A42100,0,CAB12760
BPPR03M70001,0,FO12A02_M3457
BPPR08A10100,0,FOI2A02_M3460
BPPR08A17500,0,IDW8MR_A9005
BPPV01A41100,0,NFE8_M0422
BPPV01A41200,1,RTSB01A20041
BTCA00003,1,EMO BUTTON
BTCA00006,1,ROS Button
BTCA00009,1,Green Non lighting button
CAB10109,0,TIRIS ANTENNA EXT. CABLE
CAB10110,1,TIRIS ANTENNA
CAB10140,5,CABLE
CAB10141,20,LED + CABLE
CAB10154,1,LIGHT TOWER
CAB10167,0,GENERIC CABLE
CAB10169,0,REAR MOUSE CABLE
CAB10172,0,Door Sensor
CAB10330,6,INIT SENSOR CLAMP ROTATIVE CAN
CAB10331,2,CLAMP MOTOR END SENSOR
CAB10333,5,EXTERNAL SIGNAL CMD MTR CABLE
CAB10334,42,CLAMP MOTOR CABLE
CAB10344,0,CLAMP MOTOR CABLE
CAB10347,1,ROTTARY BUTTON CABLE
CAB10351,11,CABLE OUPUT UPS
CAB10352,0,GENERIC CABLE
CAB10365,1,ANTENNA PHOTO CABLE
CAB10382,0,CLAMP MOTOR CABLE
CAB10405,0,MAPPING ANTENNA MAIN ENCODER
CAB10406,0,SENSOR UNIT ANTENNA
CAB10438,9,D PWR CABLE ASSEMBLY
CAB10445,0,CABLE
CAB10447,3,CABLE
CAB10448,3,LED
CAB10464,5,CABLE FOR UPS
CAB10532,5,UPS CABLE
CAB10611,2,UP/DOWN MAIN ENCODER
CAB10613,3,U/D SECURITY ENCODER
CAB10686,3,TAG READER COMMUNICATION RS48
CAB10734,1,GENERIC CABLE
CAB10834,0,SUBSTRATE LOCATION BRAKE
CAB10876,0,CLAMP MOTOR RIBBON CABLE
CAB10882,0,RIBBON CABLE
CAB10883,1,RIBBON CABLE
CAB10891,0,GENERIC CABLE
CAB10903,0,# 6 CARRIER POSITION SENSOR CA
CAB10909,1,CARRIER PRESENCE SENSOR
CAB10932,0,CAB10932
CAB10933,0,Encoder BKW/FRD MOTOR
CAB10935,10,RHS SOLENOID VALVE
CAB10937,0,ROTATION CABLE
CAB10939,1,ROTATION MOTOR CABLE
CAB10941,8,LHS SOLENOID VALVE
CAB10958,9,DOCK/UNLOCK ENCODER
CAB10959,11,RACKET ENCODER
CAB10962,2,EXTENSION CABLE
CAB10968,0,HORIZONTAL NFO SAFETY BARRIER
CAB10969,0,HORIZONTAL NFO SAFETY BARRIER
CAB10970,0,CANOPY SENSOR CABLE
CAB11008,2,ALIGNER MOTOR
CAB11009,2,CLAMP MOTOR
CAB11020,1,SIGNAL BOOST BOARD
CAB11059,12,SUB-D9 / RJ45 EXTENSION CABLE
CAB11072,3,TRC Z AXIS RIBBON CABLE
CAB11075,0,X-axis Home Sensor Cable
CAB11080,8,X AXIS FLEXPAK
CAB11084,0,Y AXIS FLAT RIBBON CABLE
CAB11087,0,Cable Y/Z Link on Y Frame
CAB11093,1,TRANSFER MOTION SAFETY ENCODER
CAB11095,0,MAPPING RECEPTOR CABLE
CAB11096,0,MAPPING ANTENNA EMITTER
CAB11097,0,Antenna Flex Cables
CAB11098,0,4 PIN JST F/F 1850MM EXTENSION
CAB11121,0,Uninteruptable Power Supply Ca
CAB11187,2,CLAMP MOTOR W/CABLE
CAB11196,0,PINCHED CABLES
CAB11197,0,SCANNING ADJUSTMENT TOOL
CAB11246,0,KEYBOARD CABLE
CAB11256,5,WAFER FLIP ENCODER
CAB11333,0,CABLE FOR UPLOAD JTAG
CAB11352,3,ROTATION CABLE
CAB11373,0,FRONT STATUS LIGHT
CAB11407,0,FLEXPACK P12-760-F1F1
CAB11452,0,WAFER FLIP MOTOR CABLE
CAB11473,0,FLIP TOOL UP/DOWN BRAKE
CAB11474,0,Cable Generic Z Tower
CAB11494,0,CABLE
CAB11548,2,INTERNAL ROTATION CABLE
CAB11562,1,CANOPY SENSOR CABLE
CAB11575,0,VIDEO OCR EXTENSION
CAB1159,0,CABLE ID
CAB11594,0,CABLE ID
CAB11595,0,CABLE ID
cab11605,0,TIRIS RFID ANTENNA COMMUNICATI
CAB11668,0,LEFT VIGIL LIGHTING CABLE
CAB11685,0,EMO-ROS Extension Cable
CAB11686,0,EMO/ROS EXENSION CABLE
CAB11703,0,SUB-D25 M/F 4045MM SHIELDED EX
CAB11712,0,KEYBOARD/MOUSE CABLE
CAB11718,8,CAB12026
CAB11722,0,CAB12231
CAB11723,0,CAB12760
CAB11762,0,FO12A02_M3457
CAB11763,0,FOI2A02_M3460
CAB11764,0,IDW8MR_A9005
CAB11765,0,NFE8_M0422
CAB11766,0,RTSB01A20041
CAB11767,0,VMT8IN_0505
CAB11768,0,ETHERNET N-PORT
CAB11769,0,VIDEO CABLE
CAB11776,2,Z INIT SENSOR
CAB11786,2,"MAPPING PHOTO CABLE, F21"
CAB11787,2,"MAPPING LED CABLE, F21"
CAB11788,1,"PRESENCE PHOTO1, F21"
CAB11789,2,"PRESENCE PHOTO2,F21"
CAB11798,2,"ALIGN LED, F21"
CAB11800,2,ALIGNER MOTOR
CAB11821,0,3PIN JST F/F 1050MM EXTENSION
CAB11832,1,LEFT RIGHT ENCODER
