Item ID,Qty on Hand
TA50195,5
TA50408,2
TA50410,2
TBFF_A0260,10
TBFF_A0300,3
TBFF_A90220,1
TBFF8_A0231,2
TM00118,1
TM00243,4
TM00320,2
TM50104,1
TM50141,1
TM50169,1
TM50170,1
TM50686,1
TM50897,2
TM51008,3
TM51093,2
TM51094,2
TSSA03M65003,6
TSSA04A60300,2
TSSA04A60400,1
TSSA04A60430,2
TSSA04A65110,2
TSSA04M60012,4
TSSD3M14T,5
VIS000432,20
VIS000459,9
VIS001118,10
VIS014361,10
VIS016317,10
VMT6_M0690,1
VMT8_A0020,23
VMT8_A0033,12
VMT8_A0114,1
VMT8_A0134,4
VMT8_A0180,35
VMT8_A0185,3
VMT8_A0200,3
VMT8_A0203,4
VMT8_A0250,2
VMT8_A0312,5
VMT8_A0322,4
VMT8_A0330V02,4
VMT8_A0350,2
VMT8_A0350V02,4
VMT8_A0414,2
VMT8_A0505,8
VMT8_A0540,16
VMT8_A0550,5
VMT8_A0650,3
VMT8_A1120,4
VMT8_A1200,36
VMT8_A1253,2
VMT8_A1800,5
VMT8_A1805,8
VMT8_A5500,1
VMT8_A5505,5
VMT8_A5535,6
VMT8_A8040,4
VMT8_A91807,9
VMT8_A91808,9
VMT8_M0005,21
VMT8_M0130,2
VMT8_M0205,2
VMT8_M0211,3
VMT8_M0212,4
VMT8_M0217,3
VMT8_M0218,3
VMT8_M0222,3
VMT8_M0227,3
VMT8_M0239,127
VMT8_M0247,2
VMT8_M0255,2
VMT8_M0256,2
VMT8_M0266,5
VMT8_M0267,3
VMT8_M0408,1
VMT8_M1082,28
VMT8_M1330,3
VMT8_M1576,1
VMT8_M1577,1
VMT8_M1803,13
VMT8_M1804,10
VMT8_M1806,5
VMT8_M1811,5
VMT8_M1812,5
VMT8_M1813,5
VMT8_M1814,7
VMT8_M1818,5
VMT8_M1819,10
VMT8_M1820,10
VMT8_M1822,10
VMT8_M1825,10
VMT8_M1826,20
VMT8_M1829,7
VMT8_M1833,10
VMT8_M1834,30
VMT8_M3003,1
VMT8_M4061,4
VMT8_M5522,1
VMT8_M5549,1
VMT8_M5550,1
VMT8A00003,3
VMT8A00410,3
VMT8A00503,4
VMT8A00522,7
VMT8BBA00503,4
VMT8IB_M0690,1
VMT8IN_A0312,3
VMT8IN_A0322,5
VMT8IN_A0504,3
VMT8IN_A0505,43
VMT8IN_A0600V02,5
VMT8IN_M1533,1
VMT8IN_M1567,1
VMT8IN_O0502,3
VMT8K02,11
VMT8K03,2
VMT8K04,31
VMT8K05,5
VMT8K06,2
VMT8K07,1
VMT8K08,6
VMT8K11,1
VMT8K12,14
VMT8K16,8
VMT8K19,11
VMT8K22,2
VMT8K23,4
VMT8K24,2
VMT8K28,4
VMT8K30,1
VMT8K35,1
